"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"RRP9",0,"grey","ENSG00000114767.6","ENSG00000114767",9136
"RRS1",0,"grey","ENSG00000179041.3","ENSG00000179041",23212
"RRS1-AS1",0,"grey","ENSG00000246145.1","ENSG00000246145",100505676
"RS1",0,"grey","ENSG00000102104.8","ENSG00000102104",6247
"RSAD1",0,"grey","ENSG00000136444.9","ENSG00000136444",55316
"RSAD2",0,"grey","ENSG00000134321.11","ENSG00000134321",91543
"RSBN1",17,"grey60","ENSG00000081019.13","ENSG00000081019",54665
"RSBN1L",17,"grey60","ENSG00000187257.14","ENSG00000187257",222194
"RSF1",17,"grey60","ENSG00000048649.13","ENSG00000048649",51773
"RSG1",0,"grey","ENSG00000132881.11","ENSG00000132881",79363
"RSL1D1",0,"grey","ENSG00000171490.12","ENSG00000171490",26156
"RSL24D1",0,"grey","ENSG00000137876.9","ENSG00000137876",51187
"RSPH1",0,"grey","ENSG00000160188.9","ENSG00000160188",89765
"RSPH10B",0,"grey","ENSG00000155026.16","ENSG00000155026",222967
"RSPH10B2",0,"grey","ENSG00000169402.15","ENSG00000169402",728194
"RSPH14",0,"grey","ENSG00000100218.11","ENSG00000100218",27156
"RSPH3",7,"black","ENSG00000130363.11","ENSG00000130363",83861
"RSPH4A",0,"grey","ENSG00000111834.12","ENSG00000111834",345895
"RSPH6A",0,"grey","ENSG00000104941.7","ENSG00000104941",81492
"RSPH9",0,"grey","ENSG00000172426.15","ENSG00000172426",221421
"RSPO1",0,"grey","ENSG00000169218.13","ENSG00000169218",284654
"RSPO2",0,"grey","ENSG00000147655.10","ENSG00000147655",340419
"RSPO3",0,"grey","ENSG00000146374.13","ENSG00000146374",84870
"RSPO4",0,"grey","ENSG00000101282.8","ENSG00000101282",343637
"RSPRY1",17,"grey60","ENSG00000159579.13","ENSG00000159579",89970
"RSRC1",6,"red","ENSG00000174891.12","ENSG00000174891",51319
"RSRC2",6,"red","ENSG00000111011.17","ENSG00000111011",65117
"RSRP1",0,"grey","ENSG00000117616.17","ENSG00000117616",57035
"RSU1",0,"grey","ENSG00000148484.17","ENSG00000148484",6251
"RTBDN",0,"grey","ENSG00000132026.13","ENSG00000132026",83546
"RTCA",0,"grey","ENSG00000137996.12","ENSG00000137996",8634
"RTCA-AS1",0,"grey","ENSG00000224616.1","ENSG00000224616",NA
"RTCB",24,"darkgrey","ENSG00000100220.11","ENSG00000100220",51493
"RTEL1",0,"grey","ENSG00000258366.7","ENSG00000258366",51750
"RTEL1-TNFRSF6B",0,"grey","ENSG00000026036.20","ENSG00000026036",NA
"RTF1",0,"grey","ENSG00000137815.14","ENSG00000137815",23168
"RTFDC1",0,"grey","ENSG00000022277.12","ENSG00000022277",51507
"RTKN",0,"grey","ENSG00000114993.15","ENSG00000114993",6242
"RTKN2",0,"grey","ENSG00000182010.10","ENSG00000182010",219790
